AcademicYearId,SchoolId,ClassId,ChildrenId,CommunicationIssue,MemoryConcentration,Hearing,Vision,Selfcare,Walking/Climbing,IsElectricityAvailable?,IsRadioTVAvailable?,IsTelephoneAvailable?,ChildrenGrade,ChildrenAge,ChildrenGender,OOSC_Child,HasTelevision,IsBikeAvailable?,IsOx-cartAvailable?,HasMotorcycle,self_esteem_life_skills,SELMatrix_Get_along_with_people,SELMatrix_Educations_is_important,SELMatrix_Behave_in_different_situations,SELMatrix_Parents_caregiver_take_care,SELMatrix_Parents_caregiver_know_a_lot_about_me,SELMatrix_Hungry,SELMatrix_People_like_to_spend_time_with_me,SELMatrix_Talk_to_family_when_feelings,SELMatrix_Friends_support,SELMatrix_Get_along_at_school,SELMatrix_Parents_caregiver_care_to_me,SELMatrix_Friends_care_about_me,SELMatrix_Treat_fairly_at_community,SELMatrix_Chance_to_show_the_growth,SELMatrix_Feel_safe_with_family,SELMatrix_Chance_to_learn,SELMatrix_likely_to_celebrate,menustral_cycle,menustral_cloth,menustral_normal,menustral_bathing,menustral_age,menustral_frequency,student_identity_type,PrimaryCareGiver,BirthOrder,HomeLanguage,Year,sel_total,skills_abilities,compare_others,life_goal
13,127,31.0,24169,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,6,11.0,1,,,,,,5.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,,Father,5,Hausa,2024,41.0,Low confidence,Occasionally,Yes
13,128,29.0,30385,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,5,10.0,1,,,,,,7.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,4,Hausa,2024,38.0,Neutral,Occasionally,Yes
13,123,33.0,19448,Some difficulty,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,5,10.0,0,,,,,,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,,Father,3,Hausa,2024,49.0,Neutral,Occasionally,Yes
13,123,33.0,21857,Some difficulty,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,5,10.0,0,,,,,,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,,Father,3,Hausa,2024,49.0,Neutral,Occasionally,Yes
13,116,30.0,21661,Some difficulty,No difficulty,No difficulty,A lot of difficulty,Some difficulty,No difficulty,,,,2,11.0,1,,,,,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,51.0,High confidence,Never,Don't_Know
13,129,36.0,27608,Some difficulty,No difficulty,No difficulty,Some difficulty,Some difficulty,No difficulty,,,,0,11.0,1,1 month ago,,,,,7.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,5,Hausa,2024,43.0,High confidence,Occasionally,Yes
13,127,31.0,31721,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,0,12.0,1,4-6 months ago,,,,,7.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,5,Hausa,2024,45.0,Low confidence,Often,Yes
13,127,31.0,31728,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,0,12.0,1,4-6 months ago,,,,,7.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,5,Hausa,2024,45.0,Low confidence,Often,Yes
13,127,31.0,33141,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,0,10.0,0,1-3 months ago,,,,,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,49.0,High confidence,Often,Yes
13,127,31.0,33145,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,4,12.0,0,,,,,,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,2,Hausa,2024,49.0,High confidence,Often,Yes
13,127,31.0,33169,don't_know,No difficulty,No difficulty,don't_know,No difficulty,No difficulty,,,,0,12.0,0,1 month ago,,,,,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,3,Hausa,2024,45.0,High confidence,Often,Yes
13,119,40.0,21955,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,4,10.0,0,,,,,,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,2,Hausa,2024,47.0,Neutral,Occasionally,Yes
13,119,40.0,21960,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,4,11.0,0,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,Father,3,Hausa,2024,49.0,Neutral,Occasionally,Yes
13,120,48.0,26428,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,9.0,0,Never went to school,,,,,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,,Father,1,Hausa,2024,45.0,Low confidence,Never,Yes
13,116,30.0,21709,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,3,9.0,0,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,1,Hausa,2024,51.0,High confidence,Never,Yes
13,116,30.0,21715,Some difficulty,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,3,13.0,0,,,,,,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Father,7,Hausa,2024,51.0,High confidence,Occasionally,Yes
13,129,36.0,23997,don't_know,No difficulty,No difficulty,No difficulty,No difficulty,No difficulty,,,,0,10.0,1,7-9 months ago,,,,,7.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,,Father,3,Hausa,2024,47.0,Low confidence,Never,Yes
13,129,36.0,24001,Some difficulty,No difficulty,No difficulty,No difficulty,Some difficulty,No difficulty,,,,0,13.0,0,7-9 months ago,,,,,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,,Father,8,Hausa,2024,51.0,Low confidence,Never,Yes
